datetime,hora,temp_ar,umidade,radiacao,vento_vel,precipitacao,pressao,hora_num,mes
2023-01-01 00:00:00,00:00,19.7,93.0,136.7,1.8,0.0,924.0,0,1
2023-01-01 01:00:00,01:00,19.7,92.0,136.7,1.9,0.0,923.7,1,1
2023-01-01 02:00:00,02:00,19.9,92.0,136.7,2.7,0.0,923.3,2,1
2023-01-01 03:00:00,03:00,19.7,91.0,136.7,2.5,0.0,922.4,3,1
2023-01-01 04:00:00,04:00,19.6,91.0,136.7,2.9,0.0,921.7,4,1
2023-01-01 05:00:00,05:00,19.5,93.0,136.7,2.8,0.0,921.3,5,1
2023-01-01 06:00:00,06:00,19.6,92.0,136.7,3.3,0.0,921.1,6,1
2023-01-01 07:00:00,07:00,19.3,93.0,136.7,2.9,0.0,921.0,7,1
2023-01-01 08:00:00,08:00,19.1,94.0,136.7,2.1,0.0,921.5,8,1
2023-01-01 09:00:00,09:00,19.4,95.0,136.7,1.6,0.0,922.1,9,1
2023-01-01 10:00:00,10:00,21.5,84.0,857.3,2.4,0.0,922.4,10,1
2023-01-01 11:00:00,11:00,23.2,75.0,1598.9,3.8,0.0,923.0,11,1
2023-01-01 12:00:00,12:00,23.4,71.0,1700.9,3.2,0.0,923.0,12,1
2023-01-01 13:00:00,13:00,24.8,63.0,2004.6,3.7,0.0,922.7,13,1
2023-01-01 14:00:00,14:00,25.4,62.0,2450.3,3.0,0.0,922.1,14,1
2023-01-01 15:00:00,15:00,24.2,76.0,1106.6,2.5,0.2,921.5,15,1
2023-01-01 16:00:00,16:00,24.7,71.0,1860.0,1.8,0.0,920.8,16,1
2023-01-01 17:00:00,17:00,27.9,56.0,2945.7,2.7,0.0,919.9,17,1
2023-01-01 18:00:00,18:00,23.0,85.0,1112.8,2.4,0.6,919.6,18,1
2023-01-01 19:00:00,19:00,21.1,91.0,334.5,1.0,0.4,920.2,19,1
2023-01-01 20:00:00,20:00,20.2,94.0,139.5,1.6,2.8,920.9,20,1
