datetime,hora,temp_ar,umidade,vento_vel,precipitacao,pressao,hora_num,mes,ESTACAO_ID
2024-01-01 23:00:00,23:00,29.7,55.0,1.2,0.0,968.4,23,1,petrolina
2024-01-02 00:00:00,00:00,28.5,61.0,2.7,0.0,969.2,0,1,petrolina
2024-01-02 01:00:00,01:00,28.1,64.0,3.1,0.0,969.9,1,1,petrolina
2024-01-02 02:00:00,02:00,26.8,74.0,3.2,0.4,969.9,2,1,petrolina
2024-01-02 03:00:00,03:00,26.2,77.0,2.3,0.0,969.4,3,1,petrolina
2024-01-02 04:00:00,04:00,23.8,93.0,3.6,4.4,969.5,4,1,petrolina
2024-01-02 05:00:00,05:00,23.7,94.0,2.4,1.0,969.3,5,1,petrolina
2024-01-02 06:00:00,06:00,23.3,93.0,2.7,1.0,969.2,6,1,petrolina
2024-01-02 07:00:00,07:00,22.2,91.0,2.0,0.8,969.1,7,1,petrolina
2024-01-02 08:00:00,08:00,22.4,93.0,1.1,0.2,970.0,8,1,petrolina
2024-01-02 09:00:00,09:00,22.4,94.0,1.0,0.2,970.4,9,1,petrolina
2024-01-02 10:00:00,10:00,23.1,93.0,1.7,0.2,970.2,10,1,petrolina
2024-01-02 11:00:00,11:00,23.6,92.0,1.6,0.2,970.8,11,1,petrolina
2024-01-02 12:00:00,12:00,25.0,85.0,1.8,0.0,971.2,12,1,petrolina
2024-01-02 13:00:00,13:00,28.1,74.0,1.1,0.0,971.4,13,1,petrolina
2024-01-02 14:00:00,14:00,27.5,72.0,2.9,0.0,971.1,14,1,petrolina
2024-01-02 15:00:00,15:00,25.8,77.0,4.7,0.0,970.7,15,1,petrolina
2024-01-02 16:00:00,16:00,27.0,75.0,2.6,0.0,969.7,16,1,petrolina
2024-01-02 17:00:00,17:00,28.6,64.0,4.1,0.0,968.3,17,1,petrolina
2024-01-02 18:00:00,18:00,30.0,59.0,2.5,0.0,967.6,18,1,petrolina
2024-01-02 19:00:00,19:00,29.3,59.0,2.7,0.0,967.0,19,1,petrolina
2024-01-02 20:00:00,20:00,29.0,64.0,1.3,0.0,967.2,20,1,petrolina
2024-01-02 21:00:00,21:00,28.5,62.0,2.4,0.0,967.5,21,1,petrolina
2024-01-02 22:00:00,22:00,28.1,66.0,1.3,0.0,968.1,22,1,petrolina
2024-01-02 23:00:00,23:00,27.4,72.0,1.7,0.0,969.0,23,1,petrolina
2024-01-03 00:00:00,00:00,27.7,68.0,1.5,0.0,969.7,0,1,petrolina
2024-01-03 01:00:00,01:00,26.3,81.0,2.0,0.0,970.2,1,1,petrolina
2024-01-03 02:00:00,02:00,25.9,82.0,2.5,0.0,969.9,2,1,petrolina
2024-01-03 03:00:00,03:00,25.1,87.0,3.4,0.4,969.5,3,1,petrolina
2024-01-03 04:00:00,04:00,24.5,89.0,3.2,0.8,968.6,4,1,petrolina
2024-01-03 05:00:00,05:00,24.4,86.0,2.4,0.0,968.3,5,1,petrolina
2024-01-03 06:00:00,06:00,24.88181818181818,84.0909090909091,2.381818181818182,0.0,968.4909090909091,6,1,petrolina
2024-01-03 07:00:00,07:00,25.363636363636363,82.18181818181819,2.3636363636363638,0.0,968.6818181818181,7,1,petrolina
2024-01-03 08:00:00,08:00,25.845454545454544,80.27272727272728,2.3454545454545452,0.0,968.8727272727273,8,1,petrolina
2024-01-03 09:00:00,09:00,26.327272727272724,78.36363636363636,2.327272727272727,0.0,969.0636363636363,9,1,petrolina
2024-01-03 10:00:00,10:00,26.80909090909091,76.45454545454545,2.309090909090909,0.0,969.2545454545455,10,1,petrolina
2024-01-03 11:00:00,11:00,27.29090909090909,74.54545454545455,2.290909090909091,0.0,969.4454545454545,11,1,petrolina
2024-01-03 12:00:00,12:00,27.772727272727273,72.63636363636364,2.272727272727273,0.0,969.6363636363636,12,1,petrolina
2024-01-03 13:00:00,13:00,28.254545454545454,70.72727272727273,2.254545454545455,0.0,969.8272727272727,13,1,petrolina
2024-01-03 14:00:00,14:00,28.736363636363635,68.81818181818181,2.2363636363636363,0.0,970.0181818181818,14,1,petrolina
2024-01-03 15:00:00,15:00,29.21818181818182,66.9090909090909,2.2181818181818183,0.0,970.2090909090908,15,1,petrolina
2024-01-03 16:00:00,16:00,29.7,65.0,2.2,0.0,970.4,16,1,petrolina
2024-01-03 17:00:00,17:00,30.9,56.0,3.1,0.0,969.4,17,1,petrolina
2024-01-03 18:00:00,18:00,30.8,58.0,3.8,0.0,968.5,18,1,petrolina
2024-01-03 19:00:00,19:00,29.5,66.0,3.2,0.0,968.3,19,1,petrolina
2024-01-03 20:00:00,20:00,29.2,65.0,2.6,0.0,967.7,20,1,petrolina
2024-01-03 21:00:00,21:00,28.7,63.0,2.4,0.0,968.3,21,1,petrolina
2024-01-03 22:00:00,22:00,27.5,73.0,1.2,0.0,968.8,22,1,petrolina
2024-01-03 23:00:00,23:00,27.1,78.0,1.3,0.0,969.7,23,1,petrolina
2024-01-04 00:00:00,00:00,26.4,83.0,1.6,0.0,970.7,0,1,petrolina
2024-01-04 01:00:00,01:00,26.2,82.0,1.1,0.0,971.0,1,1,petrolina
2024-01-04 02:00:00,02:00,25.9,83.0,1.4,0.0,970.3,2,1,petrolina
2024-01-04 03:00:00,03:00,25.9,81.0,0.7,0.0,970.3,3,1,petrolina
2024-01-04 04:00:00,04:00,25.9,81.0,1.3,0.0,969.5,4,1,petrolina
2024-01-04 05:00:00,05:00,25.8,83.0,1.5,0.0,969.1,5,1,petrolina
2024-01-04 06:00:00,06:00,25.6,85.0,1.2,0.0,969.1,6,1,petrolina
2024-01-04 07:00:00,07:00,25.3,84.0,1.2,0.0,969.1,7,1,petrolina
2024-01-04 08:00:00,08:00,24.9,88.0,1.5,0.0,969.7,8,1,petrolina
2024-01-04 09:00:00,09:00,25.2,87.0,0.4,0.0,970.3,9,1,petrolina
2024-01-04 10:00:00,10:00,25.5,88.0,0.8,0.0,971.1,10,1,petrolina
2024-01-04 11:00:00,11:00,26.9,79.0,0.8,0.0,971.4,11,1,petrolina
2024-01-04 12:00:00,12:00,28.4,71.0,1.7,0.0,971.3,12,1,petrolina
2024-01-04 13:00:00,13:00,30.1,59.0,2.2,0.0,970.9,13,1,petrolina
2024-01-04 14:00:00,14:00,30.3,57.0,1.6,0.0,970.2,14,1,petrolina
2024-01-04 15:00:00,15:00,32.9,47.0,1.7,0.0,969.3,15,1,petrolina
2024-01-04 16:00:00,16:00,33.8,44.0,1.8,0.0,968.4,16,1,petrolina
2024-01-04 17:00:00,17:00,34.3,43.0,1.7,0.0,967.2,17,1,petrolina
2024-01-04 18:00:00,18:00,34.3,40.0,2.5,0.0,966.3,18,1,petrolina
2024-01-04 19:00:00,19:00,35.1,37.0,1.8,0.0,965.8,19,1,petrolina
2024-01-04 20:00:00,20:00,33.9,40.0,2.0,0.0,965.8,20,1,petrolina
2024-01-04 21:00:00,21:00,32.0,49.0,1.4,0.0,966.1,21,1,petrolina
2024-01-04 22:00:00,22:00,31.0,54.0,0.8,0.0,966.6,22,1,petrolina
2024-01-04 23:00:00,23:00,30.1,57.0,0.8,0.0,967.6,23,1,petrolina
2024-01-05 00:00:00,00:00,28.9,68.0,1.6,0.0,968.2,0,1,petrolina
2024-01-05 01:00:00,01:00,28.7,67.0,1.1,0.0,968.3,1,1,petrolina
2024-01-05 02:00:00,02:00,28.8,64.0,0.6,0.0,968.6,2,1,petrolina
2024-01-05 03:00:00,03:00,29.0,64.0,3.0,0.0,969.2,3,1,petrolina
2024-01-05 04:00:00,04:00,24.6,81.0,4.4,2.2,968.5,4,1,petrolina
2024-01-05 05:00:00,05:00,24.8,88.0,1.2,0.0,968.3,5,1,petrolina
2024-01-05 06:00:00,06:00,25.4,86.0,0.9,0.0,968.0,6,1,petrolina
2024-01-05 07:00:00,07:00,24.7,87.0,1.2,0.0,968.4,7,1,petrolina
2024-01-05 08:00:00,08:00,24.9,84.0,2.3,0.0,969.2,8,1,petrolina
2024-01-05 09:00:00,09:00,25.1,81.0,0.8,0.0,969.5,9,1,petrolina
2024-01-05 10:00:00,10:00,26.1,78.0,1.6,0.0,969.9,10,1,petrolina
2024-01-05 11:00:00,11:00,27.2,73.0,0.9,0.0,970.1,11,1,petrolina
2024-01-05 12:00:00,12:00,29.6,62.0,1.8,0.0,970.1,12,1,petrolina
2024-01-05 13:00:00,13:00,30.1,61.0,2.1,0.0,969.8,13,1,petrolina
