datetime,hora,temp_ar,umidade,vento_vel,precipitacao,pressao,hora_num,mes,ESTACAO_ID
2023-01-01 00:00:00,00:00,29.3,59.0,2.8,0.0,972.4,0,1,petrolina
2023-01-01 01:00:00,01:00,29.3,59.0,2.8,0.0,972.4,1,1,petrolina
2023-01-01 02:00:00,02:00,29.3,59.0,2.8,0.0,972.4,2,1,petrolina
2023-01-01 03:00:00,03:00,29.3,59.0,2.8,0.0,972.4,3,1,petrolina
2023-01-01 04:00:00,04:00,29.3,59.0,2.8,0.0,972.4,4,1,petrolina
2023-01-01 05:00:00,05:00,29.3,59.0,2.8,0.0,972.4,5,1,petrolina
2023-01-01 06:00:00,06:00,29.3,59.0,2.8,0.0,972.4,6,1,petrolina
2023-01-01 07:00:00,07:00,29.3,59.0,2.8,0.0,972.4,7,1,petrolina
2023-01-01 08:00:00,08:00,29.3,59.0,2.8,0.0,972.4,8,1,petrolina
2023-01-01 09:00:00,09:00,29.3,59.0,2.8,0.0,972.4,9,1,petrolina
2023-01-01 10:00:00,10:00,29.3,59.0,2.8,0.0,972.4,10,1,petrolina
2023-01-01 11:00:00,11:00,29.3,59.0,2.8,0.0,972.4,11,1,petrolina
2023-01-01 12:00:00,12:00,29.3,59.0,2.8,0.0,972.4,12,1,petrolina
2023-01-01 13:00:00,13:00,29.3,59.0,2.8,0.0,972.4,13,1,petrolina
2023-01-01 14:00:00,14:00,29.3,59.0,2.8,0.0,972.4,14,1,petrolina
2023-01-01 15:00:00,15:00,29.3,59.0,2.8,0.0,972.4,15,1,petrolina
2023-01-01 16:00:00,16:00,29.3,59.0,2.8,0.0,972.4,16,1,petrolina
2023-01-01 17:00:00,17:00,29.3,59.0,2.8,0.0,972.4,17,1,petrolina
2023-01-01 18:00:00,18:00,29.3,59.0,2.8,0.0,972.4,18,1,petrolina
2023-01-01 19:00:00,19:00,29.3,59.0,2.8,0.0,972.4,19,1,petrolina
